Condition,Session,Responses,Subject,Group
Treatment,19,4413,Z13,Sal_Sal
Treatment,20,5067,Z13,Sal_Sal
Treatment,21,4556,Z13,Sal_Sal
Extinction,22,1900,Z13,Sal_Sal
Extinction,23,824,Z13,Sal_Sal
Extinction,24,481,Z13,Sal_Sal
Extinction,25,196,Z13,Sal_Sal
Extinction,26,47,Z13,Sal_Sal
Extinction,27,189,Z13,Sal_Sal
Extinction,28,41,Z13,Sal_Sal
Extinction,29,67,Z13,Sal_Sal
Extinction,30,49,Z13,Sal_Sal
Extinction,31,50,Z13,Sal_Sal
Reinstatement,32,137,Z13,Sal_Sal
Baseline,1,680,Z20,Sal_Sal
Baseline,2,983,Z20,Sal_Sal
Baseline,3,1046,Z20,Sal_Sal
Baseline,4,1577,Z20,Sal_Sal
Baseline,5,1865,Z20,Sal_Sal
Baseline,6,2481,Z20,Sal_Sal
Baseline,7,2230,Z20,Sal_Sal
Baseline,8,2252,Z20,Sal_Sal
Baseline,9,2335,Z20,Sal_Sal
Baseline,10,2262,Z20,Sal_Sal
Baseline,11,2439,Z20,Sal_Sal
Baseline,12,2336,Z20,Sal_Sal
Baseline,13,2957,Z20,Sal_Sal
Baseline,14,2277,Z20,Sal_Sal
Treatment,15,1988,Z20,Sal_Sal
Treatment,16,2286,Z20,Sal_Sal
Treatment,17,2035,Z20,Sal_Sal
Treatment,18,2155,Z20,Sal_Sal
Treatment,19,2800,Z20,Sal_Sal
Treatment,20,2586,Z20,Sal_Sal
Treatment,21,3263,Z20,Sal_Sal
Extinction,22,1582,Z20,Sal_Sal
Extinction,23,794,Z20,Sal_Sal
Extinction,24,225,Z20,Sal_Sal
Extinction,25,40,Z20,Sal_Sal
Extinction,26,65,Z20,Sal_Sal
Extinction,27,178,Z20,Sal_Sal
Extinction,28,116,Z20,Sal_Sal
Extinction,29,70,Z20,Sal_Sal
Extinction,30,38,Z20,Sal_Sal
Extinction,31,23,Z20,Sal_Sal
Reinstatement,32,208,Z20,Sal_Sal
Baseline,1,931,Z24,Sal_Sal
Baseline,2,1089,Z24,Sal_Sal
Baseline,3,1297,Z24,Sal_Sal
Baseline,4,1134,Z24,Sal_Sal
Baseline,5,1711,Z24,Sal_Sal
Baseline,6,1176,Z24,Sal_Sal
Baseline,7,1401,Z24,Sal_Sal
Baseline,8,1470,Z24,Sal_Sal
Baseline,9,1699,Z24,Sal_Sal
Baseline,10,2163,Z24,Sal_Sal
Baseline,11,1986,Z24,Sal_Sal
Baseline,12,2326,Z24,Sal_Sal
Baseline,13,2420,Z24,Sal_Sal
Baseline,14,2333,Z24,Sal_Sal
Treatment,15,1885,Z24,Sal_Sal
Treatment,16,2963,Z24,Sal_Sal
Treatment,17,3570,Z24,Sal_Sal
Treatment,18,3347,Z24,Sal_Sal
Treatment,19,2805,Z24,Sal_Sal
Treatment,20,3052,Z24,Sal_Sal
Treatment,21,2695,Z24,Sal_Sal
Extinction,22,1344,Z24,Sal_Sal
Extinction,23,403,Z24,Sal_Sal
Extinction,24,188,Z24,Sal_Sal
Extinction,25,50,Z24,Sal_Sal
Extinction,26,28,Z24,Sal_Sal
