Condition,Session,Responses,Subject,Group
Baseline,4,969,Z21,Sal_Amp
Baseline,5,954,Z21,Sal_Amp
Baseline,6,1144,Z21,Sal_Amp
Baseline,7,1127,Z21,Sal_Amp
Baseline,8,1057,Z21,Sal_Amp
Baseline,9,819,Z21,Sal_Amp
Baseline,10,996,Z21,Sal_Amp
Baseline,11,1132,Z21,Sal_Amp
Baseline,12,1099,Z21,Sal_Amp
Baseline,13,980,Z21,Sal_Amp
Baseline,14,1070,Z21,Sal_Amp
Treatment,15,1110,Z21,Sal_Amp
Treatment,16,1415,Z21,Sal_Amp
Treatment,17,1509,Z21,Sal_Amp
Treatment,18,1415,Z21,Sal_Amp
Treatment,19,1098,Z21,Sal_Amp
Treatment,20,1244,Z21,Sal_Amp
Treatment,21,1161,Z21,Sal_Amp
Extinction,22,455,Z21,Sal_Amp
Extinction,23,173,Z21,Sal_Amp
Extinction,24,89,Z21,Sal_Amp
Extinction,25,68,Z21,Sal_Amp
Extinction,26,31,Z21,Sal_Amp
Extinction,27,32,Z21,Sal_Amp
Extinction,28,18,Z21,Sal_Amp
Extinction,29,17,Z21,Sal_Amp
Extinction,30,12,Z21,Sal_Amp
Extinction,31,11,Z21,Sal_Amp
Reinstatement,32,52,Z21,Sal_Amp
Baseline,1,945,Z23,Sal_Amp
Baseline,2,1192,Z23,Sal_Amp
Baseline,3,1188,Z23,Sal_Amp
Baseline,4,1653,Z23,Sal_Amp
Baseline,5,1810,Z23,Sal_Amp
Baseline,6,1988,Z23,Sal_Amp
Baseline,7,2180,Z23,Sal_Amp
Baseline,8,2072,Z23,Sal_Amp
Baseline,9,1951,Z23,Sal_Amp
Baseline,10,1700,Z23,Sal_Amp
Baseline,11,1698,Z23,Sal_Amp
Baseline,12,1791,Z23,Sal_Amp
Baseline,13,2145,Z23,Sal_Amp
Baseline,14,2197,Z23,Sal_Amp
Treatment,15,2540,Z23,Sal_Amp
Treatment,16,2789,Z23,Sal_Amp
Treatment,17,2471,Z23,Sal_Amp
Treatment,18,2917,Z23,Sal_Amp
Treatment,19,2880,Z23,Sal_Amp
Treatment,20,2492,Z23,Sal_Amp
Treatment,21,2731,Z23,Sal_Amp
Extinction,22,792,Z23,Sal_Amp
Extinction,23,373,Z23,Sal_Amp
Extinction,24,237,Z23,Sal_Amp
Extinction,25,64,Z23,Sal_Amp
Extinction,26,89,Z23,Sal_Amp
Extinction,27,108,Z23,Sal_Amp
Extinction,28,82,Z23,Sal_Amp
Extinction,29,105,Z23,Sal_Amp
Extinction,30,43,Z23,Sal_Amp
Extinction,31,60,Z23,Sal_Amp
Reinstatement,32,180,Z23,Sal_Amp
