Subject,Session,Group,Reinf,Condition,Rate
3,4,ABA,Lean,Baseline,71.4
3,5,ABA,Lean,Baseline,63.06667
3,6,ABA,Lean,Baseline,52.8
3,7,ABA,Lean,Baseline,60.4
3,8,ABA,Lean,Baseline,60.33333
3,9,ABA,Lean,Baseline,60.93333
3,10,ABA,Lean,Baseline,51.06667
3,11,ABA,Lean,Baseline,50.26667
3,12,ABA,Lean,Baseline,68.26667
3,13,ABA,Lean,Baseline,65.8
3,14,ABA,Lean,Baseline,50.13334
3,15,ABA,Lean,Baseline,57.33333
3,16,ABA,Lean,Baseline,67.13333
3,17,ABA,Lean,Baseline,70.86667
3,18,ABA,Lean,Baseline,64.6
3,19,ABA,Lean,Baseline,71.2
3,20,ABA,Lean,Baseline,63.66667
3,21,ABA,Lean,Extinction,64.69388
3,22,ABA,Lean,Extinction,11.86667
3,23,ABA,Lean,Extinction,4.533333
3,24,ABA,Lean,Extinction,2.866667
3,25,ABA,Lean,Extinction,1.133333
3,26,ABA,Lean,Extinction,0.5333334
3,27,ABA,Lean,Extinction,0.3333333
3,28,ABA,Lean,Extinction,0.06666667
3,29,ABA,Lean,Renewal,31.13333
4,1,ABA,Rich,Baseline,66.66666
4,2,ABA,Rich,Baseline,69.26667
4,3,ABA,Rich,Baseline,72.13333
4,4,ABA,Rich,Baseline,71.26667
4,5,ABA,Rich,Baseline,68.73333
4,6,ABA,Rich,Baseline,71.8
4,7,ABA,Rich,Baseline,71.13333
4,8,ABA,Rich,Baseline,69.2
4,9,ABA,Rich,Baseline,73.86667
4,10,ABA,Rich,Baseline,63.46667
4,11,ABA,Rich,Baseline,45.6
4,12,ABA,Rich,Baseline,46.93333
4,13,ABA,Rich,Baseline,42
4,14,ABA,Rich,Baseline,51.53333
4,15,ABA,Rich,Baseline,63.86666
4,16,ABA,Rich,Baseline,66.73333
4,17,ABA,Rich,Baseline,38.06667
4,18,ABA,Rich,Baseline,20.73333
4,19,ABA,Rich,Baseline,36.53333
4,20,ABA,Rich,Baseline,57.86666
4,21,ABA,Rich,Extinction,79.28775
4,22,ABA,Rich,Extinction,12.06667
4,23,ABA,Rich,Extinction,3.133333
4,24,ABA,Rich,Extinction,3.4
4,25,ABA,Rich,Extinction,0.3333333
4,26,ABA,Rich,Extinction,1
4,27,ABA,Rich,Extinction,0.06666667
4,28,ABA,Rich,Extinction,0.2
4,29,ABA,Rich,Renewal,55.93333
4,1,ABA,Lean,Baseline,39.66667
4,2,ABA,Lean,Baseline,43.73333
4,3,ABA,Lean,Baseline,40.06667
4,4,ABA,Lean,Baseline,43.53333
4,5,ABA,Lean,Baseline,41.93333
4,6,ABA,Lean,Baseline,44.26667
4,7,ABA,Lean,Baseline,43.33333
4,8,ABA,Lean,Baseline,41.53333
4,9,ABA,Lean,Baseline,42.33333
