Condition,Session,Responses,Subject,Group,Junk Col
Extinction,30,7,Z10,Sal_Amp,junk543
Extinction,31,7,Z10,Sal_Amp,junk544
Reinstatement,32,266,Z10,Sal_Amp,junk545
Baseline,1,691,Z15,Sal_Amp,junk546
Baseline,2,912,Z15,Sal_Amp,junk547
Baseline,3,1259,Z15,Sal_Amp,junk548
Baseline,4,1308,Z15,Sal_Amp,junk549
Baseline,5,1846,Z15,Sal_Amp,junk550
Baseline,6,2181,Z15,Sal_Amp,junk551
Baseline,7,2307,Z15,Sal_Amp,junk552
Baseline,8,1983,Z15,Sal_Amp,junk553
Baseline,9,1851,Z15,Sal_Amp,junk554
Baseline,10,1765,Z15,Sal_Amp,junk555
Baseline,11,1893,Z15,Sal_Amp,junk556
Baseline,12,1809,Z15,Sal_Amp,junk557
Baseline,13,1820,Z15,Sal_Amp,junk558
Baseline,14,2592,Z15,Sal_Amp,junk559
Treatment,15,2504,Z15,Sal_Amp,junk560
Treatment,16,2541,Z15,Sal_Amp,junk561
Treatment,17,1856,Z15,Sal_Amp,junk562
Treatment,18,1505,Z15,Sal_Amp,junk563
Treatment,19,1705,Z15,Sal_Amp,junk564
Treatment,20,1772,Z15,Sal_Amp,junk565
Treatment,21,2011,Z15,Sal_Amp,junk566
Extinction,22,1168,Z15,Sal_Amp,junk567
Extinction,23,453,Z15,Sal_Amp,junk568
Extinction,24,183,Z15,Sal_Amp,junk569
Extinction,25,72,Z15,Sal_Amp,junk570
Extinction,26,128,Z15,Sal_Amp,junk571
Extinction,27,66,Z15,Sal_Amp,junk572
Extinction,28,112,Z15,Sal_Amp,junk573
Extinction,29,23,Z15,Sal_Amp,junk574
Extinction,30,42,Z15,Sal_Amp,junk575
Extinction,31,53,Z15,Sal_Amp,junk576
Reinstatement,32,39,Z15,Sal_Amp,junk577
Baseline,1,885,Z16,Sal_Amp,junk578
Baseline,2,965,Z16,Sal_Amp,junk579
Baseline,3,972,Z16,Sal_Amp,junk580
Baseline,4,1000,Z16,Sal_Amp,junk581
Baseline,5,1048,Z16,Sal_Amp,junk582
Baseline,6,966,Z16,Sal_Amp,junk583
Baseline,7,840,Z16,Sal_Amp,junk584
Baseline,8,925,Z16,Sal_Amp,junk585
Baseline,9,1118,Z16,Sal_Amp,junk586
Baseline,10,973,Z16,Sal_Amp,junk587
Baseline,11,1099,Z16,Sal_Amp,junk588
Baseline,12,1094,Z16,Sal_Amp,junk589
Baseline,13,983,Z16,Sal_Amp,junk590
Baseline,14,1210,Z16,Sal_Amp,junk591
Treatment,15,1090,Z16,Sal_Amp,junk592
Treatment,16,1335,Z16,Sal_Amp,junk593
Treatment,17,973,Z16,Sal_Amp,junk594
Treatment,18,975,Z16,Sal_Amp,junk595
Treatment,19,1048,Z16,Sal_Amp,junk596
Treatment,20,883,Z16,Sal_Amp,junk597
Treatment,21,1224,Z16,Sal_Amp,junk598
Extinction,22,419,Z16,Sal_Amp,junk599
Extinction,23,359,Z16,Sal_Amp,junk600
Extinction,24,216,Z16,Sal_Amp,junk601
Extinction,25,85,Z16,Sal_Amp,junk602
Extinction,26,41,Z16,Sal_Amp,junk603
Extinction,27,43,Z16,Sal_Amp,junk604
Extinction,28,40,Z16,Sal_Amp,junk605
Extinction,29,36,Z16,Sal_Amp,junk606
Extinction,30,20,Z16,Sal_Amp,junk607
Extinction,31,37,Z16,Sal_Amp,junk608
Reinstatement,32,56,Z16,Sal_Amp,junk609
Baseline,1,1240,Z17,Sal_Amp,junk610
Baseline,2,1689,Z17,Sal_Amp,junk611
Baseline,3,1902,Z17,Sal_Amp,junk612
Baseline,4,1907,Z17,Sal_Amp,junk613
Baseline,5,1617,Z17,Sal_Amp,junk614
Baseline,6,2463,Z17,Sal_Amp,junk615
Baseline,7,1932,Z17,Sal_Amp,junk616
Baseline,8,2506,Z17,Sal_Amp,junk617
Baseline,9,1892,Z17,Sal_Amp,junk618
Baseline,10,2741,Z17,Sal_Amp,junk619
Baseline,11,2437,Z17,Sal_Amp,junk620
Baseline,12,3080,Z17,Sal_Amp,junk621
Baseline,13,3081,Z17,Sal_Amp,junk622
Baseline,14,3343,Z17,Sal_Amp,junk623
Treatment,15,41,Z17,Sal_Amp,junk624
Treatment,16,2964,Z17,Sal_Amp,junk625
Treatment,17,3437,Z17,Sal_Amp,junk626
Treatment,18,4018,Z17,Sal_Amp,junk627
Treatment,19,3724,Z17,Sal_Amp,junk628
Treatment,20,3708,Z17,Sal_Amp,junk629
Treatment,21,3725,Z17,Sal_Amp,junk630
Extinction,22,2192,Z17,Sal_Amp,junk631
Extinction,23,723,Z17,Sal_Amp,junk632
Extinction,24,412,Z17,Sal_Amp,junk633
Extinction,25,192,Z17,Sal_Amp,junk634
Extinction,26,303,Z17,Sal_Amp,junk635
Extinction,27,348,Z17,Sal_Amp,junk636
Extinction,28,308,Z17,Sal_Amp,junk637
Extinction,29,124,Z17,Sal_Amp,junk638
Extinction,30,116,Z17,Sal_Amp,junk639
Extinction,31,236,Z17,Sal_Amp,junk640
Reinstatement,32,34,Z17,Sal_Amp,junk641
Baseline,1,803,Z21,Sal_Amp,junk642
Baseline,2,728,Z21,Sal_Amp,junk643
Baseline,3,915,Z21,Sal_Amp,junk644
Baseline,4,969,Z21,Sal_Amp,junk645
Baseline,5,954,Z21,Sal_Amp,junk646
Baseline,6,1144,Z21,Sal_Amp,junk647
Baseline,7,1127,Z21,Sal_Amp,junk648
Baseline,8,1057,Z21,Sal_Amp,junk649
Baseline,9,819,Z21,Sal_Amp,junk650
Baseline,10,996,Z21,Sal_Amp,junk651
Baseline,11,1132,Z21,Sal_Amp,junk652
Baseline,12,1099,Z21,Sal_Amp,junk653
Baseline,13,980,Z21,Sal_Amp,junk654
Baseline,14,1070,Z21,Sal_Amp,junk655
Treatment,15,1110,Z21,Sal_Amp,junk656
Treatment,16,1415,Z21,Sal_Amp,junk657
Treatment,17,1509,Z21,Sal_Amp,junk658
Treatment,18,1415,Z21,Sal_Amp,junk659
Treatment,19,1098,Z21,Sal_Amp,junk660
Treatment,20,1244,Z21,Sal_Amp,junk661
Treatment,21,1161,Z21,Sal_Amp,junk662
Extinction,22,455,Z21,Sal_Amp,junk663
Extinction,23,173,Z21,Sal_Amp,junk664
Extinction,24,89,Z21,Sal_Amp,junk665
Extinction,25,68,Z21,Sal_Amp,junk666
Extinction,26,31,Z21,Sal_Amp,junk667
Extinction,27,32,Z21,Sal_Amp,junk668
Extinction,28,18,Z21,Sal_Amp,junk669
Extinction,29,17,Z21,Sal_Amp,junk670
Extinction,30,12,Z21,Sal_Amp,junk671
Extinction,31,11,Z21,Sal_Amp,junk672
Reinstatement,32,52,Z21,Sal_Amp,junk673
Baseline,1,945,Z23,Sal_Amp,junk674
Baseline,2,1192,Z23,Sal_Amp,junk675
Baseline,3,1188,Z23,Sal_Amp,junk676
Baseline,4,1653,Z23,Sal_Amp,junk677
Baseline,5,1810,Z23,Sal_Amp,junk678
Baseline,6,1988,Z23,Sal_Amp,junk679
Baseline,7,2180,Z23,Sal_Amp,junk680
Baseline,8,2072,Z23,Sal_Amp,junk681
Baseline,9,1951,Z23,Sal_Amp,junk682
Baseline,10,1700,Z23,Sal_Amp,junk683
Baseline,11,1698,Z23,Sal_Amp,junk684
Baseline,12,1791,Z23,Sal_Amp,junk685
Baseline,13,2145,Z23,Sal_Amp,junk686
Baseline,14,2197,Z23,Sal_Amp,junk687
Treatment,15,2540,Z23,Sal_Amp,junk688
Treatment,16,2789,Z23,Sal_Amp,junk689
Treatment,17,2471,Z23,Sal_Amp,junk690
Treatment,18,2917,Z23,Sal_Amp,junk691
Treatment,19,2880,Z23,Sal_Amp,junk692
Treatment,20,2492,Z23,Sal_Amp,junk693
Treatment,21,2731,Z23,Sal_Amp,junk694
Extinction,22,792,Z23,Sal_Amp,junk695
Extinction,23,373,Z23,Sal_Amp,junk696
Extinction,24,237,Z23,Sal_Amp,junk697
Extinction,25,64,Z23,Sal_Amp,junk698
Extinction,26,89,Z23,Sal_Amp,junk699
Extinction,27,108,Z23,Sal_Amp,junk700
Extinction,28,82,Z23,Sal_Amp,junk701
Extinction,29,105,Z23,Sal_Amp,junk702
Extinction,30,43,Z23,Sal_Amp,junk703
Extinction,31,60,Z23,Sal_Amp,junk704
Reinstatement,32,180,Z23,Sal_Amp,junk705
