Condition,Session,Responses,Subject,Group,Junk Col
Extinction,28,30,Z12,Sal_Sal,junk125
Extinction,29,91,Z12,Sal_Sal,junk126
Extinction,30,125,Z12,Sal_Sal,junk127
Extinction,31,58,Z12,Sal_Sal,junk128
Reinstatement,32,43,Z12,Sal_Sal,junk129
Baseline,1,808,Z13,Sal_Sal,junk130
Baseline,2,1016,Z13,Sal_Sal,junk131
Baseline,3,1229,Z13,Sal_Sal,junk132
Baseline,4,1573,Z13,Sal_Sal,junk133
Baseline,5,1905,Z13,Sal_Sal,junk134
Baseline,6,1960,Z13,Sal_Sal,junk135
Baseline,7,2063,Z13,Sal_Sal,junk136
Baseline,8,1984,Z13,Sal_Sal,junk137
Baseline,9,2091,Z13,Sal_Sal,junk138
Baseline,10,2420,Z13,Sal_Sal,junk139
Baseline,11,2707,Z13,Sal_Sal,junk140
Baseline,12,2237,Z13,Sal_Sal,junk141
Baseline,13,2855,Z13,Sal_Sal,junk142
Baseline,14,2688,Z13,Sal_Sal,junk143
Treatment,15,3453,Z13,Sal_Sal,junk144
Treatment,16,3489,Z13,Sal_Sal,junk145
Treatment,17,4214,Z13,Sal_Sal,junk146
Treatment,18,4210,Z13,Sal_Sal,junk147
Treatment,19,4413,Z13,Sal_Sal,junk148
Treatment,20,5067,Z13,Sal_Sal,junk149
Treatment,21,4556,Z13,Sal_Sal,junk150
Extinction,22,1900,Z13,Sal_Sal,junk151
Extinction,23,824,Z13,Sal_Sal,junk152
Extinction,24,481,Z13,Sal_Sal,junk153
Extinction,25,196,Z13,Sal_Sal,junk154
Extinction,26,47,Z13,Sal_Sal,junk155
Extinction,27,189,Z13,Sal_Sal,junk156
Extinction,28,41,Z13,Sal_Sal,junk157
Extinction,29,67,Z13,Sal_Sal,junk158
Extinction,30,49,Z13,Sal_Sal,junk159
Extinction,31,50,Z13,Sal_Sal,junk160
Reinstatement,32,137,Z13,Sal_Sal,junk161
Baseline,1,680,Z20,Sal_Sal,junk162
Baseline,2,983,Z20,Sal_Sal,junk163
Baseline,3,1046,Z20,Sal_Sal,junk164
Baseline,4,1577,Z20,Sal_Sal,junk165
Baseline,5,1865,Z20,Sal_Sal,junk166
Baseline,6,2481,Z20,Sal_Sal,junk167
Baseline,7,2230,Z20,Sal_Sal,junk168
Baseline,8,2252,Z20,Sal_Sal,junk169
Baseline,9,2335,Z20,Sal_Sal,junk170
Baseline,10,2262,Z20,Sal_Sal,junk171
Baseline,11,2439,Z20,Sal_Sal,junk172
Baseline,12,2336,Z20,Sal_Sal,junk173
Baseline,13,2957,Z20,Sal_Sal,junk174
Baseline,14,2277,Z20,Sal_Sal,junk175
Treatment,15,1988,Z20,Sal_Sal,junk176
Treatment,16,2286,Z20,Sal_Sal,junk177
Treatment,17,2035,Z20,Sal_Sal,junk178
Treatment,18,2155,Z20,Sal_Sal,junk179
Treatment,19,2800,Z20,Sal_Sal,junk180
Treatment,20,2586,Z20,Sal_Sal,junk181
Treatment,21,3263,Z20,Sal_Sal,junk182
Extinction,22,1582,Z20,Sal_Sal,junk183
Extinction,23,794,Z20,Sal_Sal,junk184
Extinction,24,225,Z20,Sal_Sal,junk185
Extinction,25,40,Z20,Sal_Sal,junk186
Extinction,26,65,Z20,Sal_Sal,junk187
Extinction,27,178,Z20,Sal_Sal,junk188
Extinction,28,116,Z20,Sal_Sal,junk189
Extinction,29,70,Z20,Sal_Sal,junk190
Extinction,30,38,Z20,Sal_Sal,junk191
Extinction,31,23,Z20,Sal_Sal,junk192
Reinstatement,32,208,Z20,Sal_Sal,junk193
Baseline,1,931,Z24,Sal_Sal,junk194
Baseline,2,1089,Z24,Sal_Sal,junk195
Baseline,3,1297,Z24,Sal_Sal,junk196
Baseline,4,1134,Z24,Sal_Sal,junk197
Baseline,5,1711,Z24,Sal_Sal,junk198
Baseline,6,1176,Z24,Sal_Sal,junk199
Baseline,7,1401,Z24,Sal_Sal,junk200
Baseline,8,1470,Z24,Sal_Sal,junk201
Baseline,9,1699,Z24,Sal_Sal,junk202
Baseline,10,2163,Z24,Sal_Sal,junk203
Baseline,11,1986,Z24,Sal_Sal,junk204
Baseline,12,2326,Z24,Sal_Sal,junk205
Baseline,13,2420,Z24,Sal_Sal,junk206
Baseline,14,2333,Z24,Sal_Sal,junk207
Treatment,15,1885,Z24,Sal_Sal,junk208
Treatment,16,2963,Z24,Sal_Sal,junk209
Treatment,17,3570,Z24,Sal_Sal,junk210
Treatment,18,3347,Z24,Sal_Sal,junk211
Treatment,19,2805,Z24,Sal_Sal,junk212
Treatment,20,3052,Z24,Sal_Sal,junk213
Treatment,21,2695,Z24,Sal_Sal,junk214
Extinction,22,1344,Z24,Sal_Sal,junk215
Extinction,23,403,Z24,Sal_Sal,junk216
Extinction,24,188,Z24,Sal_Sal,junk217
Extinction,25,50,Z24,Sal_Sal,junk218
Extinction,26,28,Z24,Sal_Sal,junk219
Extinction,27,70,Z24,Sal_Sal,junk220
Extinction,28,54,Z24,Sal_Sal,junk221
Extinction,29,44,Z24,Sal_Sal,junk222
Extinction,30,20,Z24,Sal_Sal,junk223
Extinction,31,56,Z24,Sal_Sal,junk224
Reinstatement,32,58,Z24,Sal_Sal,junk225
Baseline,1,533,Z1,Amp_Sal,junk226
Baseline,2,693,Z1,Amp_Sal,junk227
Baseline,3,585,Z1,Amp_Sal,junk228
Baseline,4,644,Z1,Amp_Sal,junk229
Baseline,5,766,Z1,Amp_Sal,junk230
Baseline,6,528,Z1,Amp_Sal,junk231
Baseline,7,506,Z1,Amp_Sal,junk232
Baseline,8,779,Z1,Amp_Sal,junk233
Baseline,9,519,Z1,Amp_Sal,junk234
Baseline,10,782,Z1,Amp_Sal,junk235
Baseline,11,422,Z1,Amp_Sal,junk236
Baseline,12,355,Z1,Amp_Sal,junk237
Baseline,13,531,Z1,Amp_Sal,junk238
Baseline,14,614,Z1,Amp_Sal,junk239
Treatment,15,1169,Z1,Amp_Sal,junk240
Treatment,16,2143,Z1,Amp_Sal,junk241
Treatment,17,1608,Z1,Amp_Sal,junk242
Treatment,18,2249,Z1,Amp_Sal,junk243
