Subject,Session,Group,Reinf,Condition,Rate
6,3,ABA,Rich,Baseline,60.13334
6,4,ABA,Rich,Baseline,59.86666
6,5,ABA,Rich,Baseline,61.93333
6,6,ABA,Rich,Baseline,65.13333
6,7,ABA,Rich,Baseline,62.6
6,8,ABA,Rich,Baseline,64.4
6,9,ABA,Rich,Baseline,61.86666
6,10,ABA,Rich,Baseline,65.4
6,11,ABA,Rich,Baseline,67.66666
6,12,ABA,Rich,Baseline,64.6
6,13,ABA,Rich,Baseline,67.26667
6,14,ABA,Rich,Baseline,67.33334
6,15,ABA,Rich,Baseline,65.2
6,16,ABA,Rich,Baseline,62.06667
6,17,ABA,Rich,Baseline,61.86666
6,18,ABA,Rich,Baseline,57.06667
6,19,ABA,Rich,Baseline,63.93333
6,20,ABA,Rich,Baseline,71
6,21,ABA,Rich,Extinction,79.28775
6,22,ABA,Rich,Extinction,10.86667
6,23,ABA,Rich,Extinction,2.733333
6,24,ABA,Rich,Extinction,1.6
6,25,ABA,Rich,Extinction,0.2
6,26,ABA,Rich,Extinction,0.06666667
6,27,ABA,Rich,Extinction,0
6,28,ABA,Rich,Extinction,0.2
6,29,ABA,Rich,Renewal,78.93333
7,1,ABA,Rich,Baseline,111.4667
7,2,ABA,Rich,Baseline,109.5333
7,3,ABA,Rich,Baseline,108
7,4,ABA,Rich,Baseline,114.5333
7,5,ABA,Rich,Baseline,103.8
7,6,ABA,Rich,Baseline,99.93333
7,7,ABA,Rich,Baseline,105.2
7,8,ABA,Rich,Baseline,106.2667
7,9,ABA,Rich,Baseline,110.5333
7,10,ABA,Rich,Baseline,109.3333
7,11,ABA,Rich,Baseline,108.5333
7,12,ABA,Rich,Baseline,90.13333
7,13,ABA,Rich,Baseline,106.8667
7,14,ABA,Rich,Baseline,107.5333
7,15,ABA,Rich,Baseline,102.2667
7,16,ABA,Rich,Baseline,107.6
7,17,ABA,Rich,Baseline,104.5333
7,18,ABA,Rich,Baseline,102.8
7,19,ABA,Rich,Baseline,117.9333
7,20,ABA,Rich,Baseline,95.2
7,21,ABA,Rich,Extinction,79.28775
7,22,ABA,Rich,Extinction,112.3333
7,23,ABA,Rich,Extinction,51.8
7,24,ABA,Rich,Extinction,92.8
7,25,ABA,Rich,Extinction,29.8
7,26,ABA,Rich,Extinction,10.8
7,27,ABA,Rich,Extinction,15.73333
7,28,ABA,Rich,Extinction,11.06667
7,29,ABA,Rich,Renewal,64.46667
8,1,ABA,Rich,Baseline,90.06667
8,2,ABA,Rich,Baseline,87.8
8,3,ABA,Rich,Baseline,97.46667
8,4,ABA,Rich,Baseline,90.86667
8,5,ABA,Rich,Baseline,91.93333
8,6,ABA,Rich,Baseline,93.66666
8,7,ABA,Rich,Baseline,103.6667
8,8,ABA,Rich,Baseline,105.4667
8,9,ABA,Rich,Baseline,102.4
8,10,ABA,Rich,Baseline,105.8
8,11,ABA,Rich,Baseline,112
8,12,ABA,Rich,Baseline,98.26667
8,13,ABA,Rich,Baseline,97.53333
8,14,ABA,Rich,Baseline,96.8
8,15,ABA,Rich,Baseline,92.66666
8,16,ABA,Rich,Baseline,94.6
8,17,ABA,Rich,Baseline,93
8,18,ABA,Rich,Baseline,99.6
8,19,ABA,Rich,Baseline,106.0667
8,20,ABA,Rich,Baseline,75.33334
8,21,ABA,Rich,Extinction,79.28775
8,22,ABA,Rich,Extinction,60.86666
8,23,ABA,Rich,Extinction,26.46667
8,24,ABA,Rich,Extinction,43.13334
8,25,ABA,Rich,Extinction,18.33333
8,26,ABA,Rich,Extinction,24.4
8,27,ABA,Rich,Extinction,16.4
8,28,ABA,Rich,Extinction,3.066667
8,29,ABA,Rich,Renewal,94.4
9,1,ABC,Rich,Baseline,105
9,2,ABC,Rich,Baseline,102.2667
9,3,ABC,Rich,Baseline,100.0667
9,4,ABC,Rich,Baseline,87.06667
9,5,ABC,Rich,Baseline,102.1333
9,6,ABC,Rich,Baseline,97.33334
9,7,ABC,Rich,Baseline,91.53333
9,8,ABC,Rich,Baseline,88.33334
9,9,ABC,Rich,Baseline,90.13333
9,10,ABC,Rich,Baseline,94.13333
9,11,ABC,Rich,Baseline,90.73333
9,12,ABC,Rich,Baseline,91.6
9,13,ABC,Rich,Baseline,88.13333
9,14,ABC,Rich,Baseline,90.86667
9,15,ABC,Rich,Baseline,87.53333
9,16,ABC,Rich,Baseline,95
9,17,ABC,Rich,Baseline,97.86667
9,18,ABC,Rich,Baseline,96.4
9,19,ABC,Rich,Baseline,91.6
9,20,ABC,Rich,Baseline,88.2
9,21,ABC,Rich,Extinction,91.79333
9,22,ABC,Rich,Extinction,30.73333
9,23,ABC,Rich,Extinction,22.06667
9,24,ABC,Rich,Extinction,11.86667
9,25,ABC,Rich,Extinction,1.666667
9,26,ABC,Rich,Extinction,5.2
9,27,ABC,Rich,Extinction,5.733333
9,28,ABC,Rich,Renewal,59.4
10,1,ABC,Rich,Baseline,106.7333
10,2,ABC,Rich,Baseline,112.1333
10,3,ABC,Rich,Baseline,102
10,4,ABC,Rich,Baseline,102.3333
10,5,ABC,Rich,Baseline,97
10,6,ABC,Rich,Baseline,111.1333
10,7,ABC,Rich,Baseline,114.2
10,8,ABC,Rich,Baseline,97.26667
10,9,ABC,Rich,Baseline,112.0667
10,10,ABC,Rich,Baseline,96.93333
10,11,ABC,Rich,Baseline,100.2667
10,12,ABC,Rich,Baseline,92.8
10,13,ABC,Rich,Baseline,101.1333
10,14,ABC,Rich,Baseline,83.13333
10,15,ABC,Rich,Baseline,96.2
